Title,User_id,Score
Witch of Blackbird Pond (Bookwise Guide),A10TYGME2FQHO7,4.0
A Family Reunion,A10BI5QB5HJTR4,5.0
Till We Have Faces: A Myth Retold,A10T0OW97SFBB,5.0
Gods and Kings (Chronicles of the Kings #1),A10PEXB6XAQ5XF,5.0
The Anger Workbook: A 13-Step Interactive Plan to Help You... (Minirth-Meier Clinic Series),A10HWJXUG67E7I,5.0
A Husband For Mama (Zebra Regency Romance),A108XP24UESKSV,3.0
A Tree Grows in Brooklyn,A105FAAQ06FTWA,5.0
His Lordship's Holiday Surprise (Zebra Regency Romance),A108XP24UESKSV,5.0
Heaven's Prisoners,A105E427BB6J65,3.0
Mother Night,A10K3DLOEVMKW3,5.0
Mother Night,A10M94ASQEBL56,5.0
The Masters,A106016KSI0YQ,2.0
Mere Christianity,A10ASLX7DTTB6Z,5.0
Mere Christianity,A106RLZK9HQIFS,5.0
"American Theocracy: The Peril and Politics of Radical Religion, Oil, and Borrowed Money in the 21stCentury",A10EW5N83RTO27,3.0
Dress Your Family in Corduroy and Denim,A10X0JN8KTK89H,4.0
On Bended Knee (Zebra Regency Romance),A108XP24UESKSV,3.0
The Other Boleyn Girl,A10VOEBL5S337W,5.0
The Other Boleyn Girl,A10Y3OZWENAQ6W,3.0
Lord of the flies,A10T0OW97SFBB,5.0
Lord of the flies,A105FAAQ06FTWA,1.0
Lord of the flies,A10URBQ3W2KW65,4.0
The Nitpicker's Guide for X-Philes,A10872FHIJAKKD,4.0
The Martian Way,A10KKJMBY5L7TK,5.0
Resurrection (The Penguin classics),A10URBQ3W2KW65,4.0
Emma (World's Classics),A105W5ZZOON3PD,5.0
The Line of Beauty: A Novel,A106016KSI0YQ,3.0
Appointment with Death,A10K3DLOEVMKW3,2.0
Ulysses,A10A1S5NAQBT21,5.0
Ulysses,A107C4RVRF0OP,5.0
Ulysses,A10RQR8BVO77HS,5.0
The Greatest Generation Speaks Letters and Reflections,A106E1N0ZQ4D9W,5.0
Fahrenheit 451,A101DG7P9E26PW,5.0
The witch of blackbird pond (A Dell yearling book),A10TYGME2FQHO7,4.0
The Stranger,A10T0OW97SFBB,5.0
"Monte Cristo,",A10HWJXUG67E7I,5.0
"Impossible Dream: The Marcoses, the Aquinos, and the Unfinished Revolution",A10ATY8QTZ37ND,5.0
Mary Barton (World's Classics),A10HWJXUG67E7I,5.0
The high window,A10C5CJK1YKGV0,5.0
Hiroshima diary,A10VOEBL5S337W,4.0
Double Star,A10HUD3X4V3OM4,3.0
The American [Jimcin Edition],A10X0JN8KTK89H,5.0
The Last Juror,A10EW5N83RTO27,2.0
"ERAGON: INHERITANCE, BOOK ONE.",A10EH95EUDO9W3,5.0
"The Hobbitt, or there and back again; illustrated by the author.",A10872FHIJAKKD,5.0
"The Hobbitt, or there and back again; illustrated by the author.",A10X0JN8KTK89H,4.0
"The Hobbitt, or there and back again; illustrated by the author.",A10EH95EUDO9W3,3.0
"The Shelters Of Stone - The Earth's Children Series, Book 5",A10TYGME2FQHO7,3.0
Little Women,A10LIUHN9UTH7O,5.0
Little Women,A10TKG3JDUBVCR,5.0
Little Women,A1042BIXF6ZMAC,5.0
Napoleon's Family,A101446I5AWY0Z,3.0
Great Expectations,A10R1WAP6HFFEP,4.0
Great Expectations,A10R1WAP6HFFEP,4.0
ART OF WARFARE IN THE AGE OF NAPOLEON,A101446I5AWY0Z,2.0
Agnes Grey (Barnes & Noble Classics Series),A10O4LYO967IZ,3.0
Agnes Grey (Barnes & Noble Classics Series),A10TKG3JDUBVCR,5.0
The Plague,A10T0OW97SFBB,5.0
April MOrning,A105FAAQ06FTWA,5.0
How Great Generals Win,A10KKJMBY5L7TK,4.0
Now We Are Six,A10ETB3064YV0F,4.0
Red Storm Rising (Turtleback School & Library Binding Edition),A10PEXB6XAQ5XF,5.0
"Miss Pettigrew lives for a day,",A106016KSI0YQ,4.0
Great Expectations,A10R1WAP6HFFEP,4.0
Great Expectations,A10R1WAP6HFFEP,4.0
Arabian sands,A10K3DLOEVMKW3,5.0
The Idiot (Oxford World's Classics),A105FAAQ06FTWA,5.0
A Viscount For Christmas (Zebra Regency Romance),A108XP24UESKSV,5.0
Cheaper By the Dozen,A10T0OW97SFBB,5.0
The Egyptian,A10BZSGALQPS0V,4.0
The Hidden Messages in Water,A10872FHIJAKKD,4.0
"Farewell, my lovely",A10C5CJK1YKGV0,4.0
Something Wicked This Way Comes,A10872FHIJAKKD,5.0
A Notorious Lady (Zebra Regency Romance),A108XP24UESKSV,4.0
A Christmas carol: In prose,A10T5WUTEEGLQF,5.0
A Christmas carol: In prose,A10A1S5NAQBT21,5.0
Identity Crisis,A106016KSI0YQ,4.0
An inquiry into the nature and causes of the wealth of nations,A10TRXQBELWYMF,5.0
Getting the Gospel Right,A10HWJXUG67E7I,5.0
Persuasion (World's Classics),A10CIUS8SYEB8K,5.0
Persuasion (World's Classics),A105W5ZZOON3PD,3.0
Persuasion (World's Classics),A10Y5RD8QNMHEZ,4.0
Persuasion (World's Classics),A10JF6T7DY6Z8Z,5.0
"The story of King Arthur and his knights,",A10T0OW97SFBB,5.0
Garfield: His 9 Lives,A10EH95EUDO9W3,5.0
Going Solo,A10VOEBL5S337W,5.0
Middlemarch,A10DXHFHPYK3BZ,5.0
Middlemarch,A107BRWBRASM9L,5.0
Man of La Mancha,A10TG7PJTDO4F4,2.0
"The perils of prosperity, 1914-32 (The Chicago history of American civilization)",A103W7ZPKGOCC9,5.0
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",A10W40DOIE1EOP,5.0
"Farewell, my lovely",A10C5CJK1YKGV0,4.0
Lone Star Heat,A106E1N0ZQ4D9W,4.0
The Two Towers,A10872FHIJAKKD,5.0
The Two Towers,A10872FHIJAKKD,5.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection),A10AZVYK32ZJSE,5.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection),A10T0OW97SFBB,5.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection (Brilliance Audio)),A10AZVYK32ZJSE,5.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection (Brilliance Audio)),A10T0OW97SFBB,5.0
In the Black: A History of African Americans on Wall Street (Black Enterprise Books),A103W7ZPKGOCC9,5.0
Gone with the Wind (The Margaret Mitchell Anniversary Edition),A10TG7PJTDO4F4,5.0
Gone with the Wind (The Margaret Mitchell Anniversary Edition),A10Q8NIFOVOHFV,5.0
Gone with the Wind (The Margaret Mitchell Anniversary Edition),A10JQQVC4L91RD,5.0
Bobby Fischer Goes to War: How the Soviets Lost the Most Extraordinary Chess Match,A10G0UV69NCHXB,4.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection (Brilliance Audio)),A10AZVYK32ZJSE,5.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection (Brilliance Audio)),A10T0OW97SFBB,5.0
The doomsters,A10K3DLOEVMKW3,4.0
East of Eden,A10JQQVC4L91RD,5.0
Letters of a Woman Homesteader,A10WE4JQOHF6H2,5.0
The Sketch Book for the Artist,A10UHOIJ4R52CG,5.0
"The crimes of England,",A10T0OW97SFBB,5.0
The Documents in the Case,A101446I5AWY0Z,2.0
"A Writer at War: Vasily Grossman with the Red Army, 1941-1945",A100NGGXRQF0AQ,5.0
Breakfast of Champions,A10VOEBL5S337W,5.0
"The Great Hunt (Turtleback School & Library Binding Edition) (The Wheel of Time, Book 2)",A10KKJMBY5L7TK,5.0
Summer Will Show (Virago Modern Classics),A106016KSI0YQ,5.0
The Minerva Virus,A10PEXB6XAQ5XF,4.0
Collapse: How Societies Choose to Fail or Succeed,A103U0Q3IKSXHE,3.0
Collapse: How Societies Choose to Fail or Succeed,A10LWBOIZCF2QT,5.0
Alfred & Guinevere,A106016KSI0YQ,4.0
Manchild in the promised land,A10HWJXUG67E7I,5.0
Shilling for Candles/Aud Csst,A10K3DLOEVMKW3,3.0
Lord Of Chaos (Turtleback School & Library Binding Edition) (Wheel of Time (Pb)),A10KHC3SJ6EBSR,5.0
Lord Of Chaos (Turtleback School & Library Binding Edition) (Wheel of Time (Pb)),A10KKJMBY5L7TK,5.0
Wedding Party,A106E1N0ZQ4D9W,2.0
Blue Highways: A Journey into America,A107C4RVRF0OP,5.0
"Star Wars, Episode III - Revenge of the Sith",A10ATY8QTZ37ND,5.0
The bridge of San Luis Rey,A10F2RGD2D36ZI,4.0
Guns And Barbed Wire: A Child Survives the Holocaust,A10HWJXUG67E7I,5.0
Conversational Spanish in Nothing Flat (8 One Hour CDs/200 Page Illustated Text/Answer Keys & Tapescript) (Spanish Edition),A10UHOIJ4R52CG,1.0
The Good War: An oral history of WWII,A10BZSGALQPS0V,4.0
The Prophet Armed Trotsky: 1879-1921,A10EW5N83RTO27,5.0
Fat Ollie's Book,A10Y3OZWENAQ6W,3.0
I Survived Belzec Crematories,A10VOEBL5S337W,4.0
Letters from Rifka,A10VOEBL5S337W,4.0
Two On A Tower,A10O4LYO967IZ,4.0
Brave New World,A10T0OW97SFBB,5.0
Jane Eyre,A10T0OW97SFBB,4.0
Jane Eyre,A10ETB3064YV0F,5.0
Jane Eyre,A108AVF62U97NY,2.0
"In the Beginning: The Story of the King James Bible and How It Changed a Nation, a Language, and a Culture",A10HWJXUG67E7I,5.0
The Black Panther Party [Reconsidered],A103W7ZPKGOCC9,5.0
Cow Country,A10Q8NIFOVOHFV,4.0
God's Lesser Glory: The Diminished God of Open Theism,A10T0OW97SFBB,3.0
Ethan Frome,A10O4LYO967IZ,4.0
THE BRETHREN INSIDE THE SUPREME COURT,A10G0UV69NCHXB,3.0
"Farewell, My Lovely",A10C5CJK1YKGV0,4.0
On Beauty,A106016KSI0YQ,3.0
Dieting for Dummies,A106E1N0ZQ4D9W,5.0
Death Match,A10Y3OZWENAQ6W,3.0
I am Fifteen - and I don't Want to Die . . .,A10VOEBL5S337W,3.0
"What Cops Know: Cops Talk About What They Do, How They Do It, and What It Does to Them",A10HWJXUG67E7I,5.0
Anonymous Rex,A101446I5AWY0Z,4.0
The Devil's Highway,A10HUD3X4V3OM4,4.0
TIME WILL DARKEN IT.,A107C4RVRF0OP,5.0
Lord Pierson Reforms (Zebra Regency Romance),A108XP24UESKSV,4.0
The Two Towers,A10872FHIJAKKD,5.0
The Two Towers,A10872FHIJAKKD,5.0
The Frozen Deep,A10O4LYO967IZ,4.0
Partisans and Redcoats: The Southern Conflict That Turned the Tide of the American Revolution,A10F2RGD2D36ZI,4.0
"The enchanted castle,",A10T0OW97SFBB,5.0
Red Storm Rising,A10PEXB6XAQ5XF,5.0
O pioneers!,A10WE4JQOHF6H2,5.0
O pioneers!,A10Y3OZWENAQ6W,4.0
Doing Battle: The Making of a Skeptic,A10EW5N83RTO27,2.0
The Duke And Mrs. Douglas (Zebra Regency Romance),A108XP24UESKSV,3.0
Bilal's Bread,A10ATBAKR7OIEE,5.0
"Baby, I'm Yours",A106E1N0ZQ4D9W,4.0
A Disciple's Life: The Biography of Neal A. Maxwell,A10LWBOIZCF2QT,5.0
"The strange case of Dr. Jekyll and Mr. Hyde,",A106RLZK9HQIFS,5.0
The Carpenters: The Untold Story : An Authorized Biography,A10ATBAKR7OIEE,4.0
Matilda CD,A10R1WAP6HFFEP,5.0
Alfred Hitchcock Presents 12 Stories For Late Night,A10XQVBKGTA0XZ,4.0
"The lore and language of schoolchildren,",A106016KSI0YQ,4.0
To Die For,A106E1N0ZQ4D9W,5.0
"Doobie doo;: A novel,",A10RQR8BVO77HS,5.0
The Way of All Flesh,A107C4RVRF0OP,4.0
"Little women; or, Meg, Jo, Beth, and Amy,",A1042BIXF6ZMAC,5.0
"Little women; or, Meg, Jo, Beth, and Amy,",A10TKG3JDUBVCR,5.0
"Little women; or, Meg, Jo, Beth, and Amy,",A10LIUHN9UTH7O,5.0
Jane Eyre (Everyman's Classics),A10ETB3064YV0F,5.0
Jane Eyre (Everyman's Classics),A108AVF62U97NY,2.0
Jane Eyre (Everyman's Classics),A10T0OW97SFBB,4.0
El Rey de La Habana (Narrativas Hispanicas),A1075MZNVRMSEO,5.0
Whispered Promises,A10BI5QB5HJTR4,5.0
"Rabbit, run",A107C4RVRF0OP,3.0
Clifford's First Halloween,A103W7ZPKGOCC9,5.0
In a Summer Season,A106016KSI0YQ,4.0
The professor's house,A106016KSI0YQ,5.0
Swept Away (Arabesque),A10BI5QB5HJTR4,5.0
The Face of the Deep,A10B4UOL0IB274,5.0
The Old Man and the Sea,A10T0OW97SFBB,4.0
Pompeii: A Novel,A10Y3OZWENAQ6W,3.0
Kim,A10T0OW97SFBB,5.0
The Epic of Gilgamesh: An English Version With an Introduction,A10HIGJ8OCFLIS,5.0
Beyond Recall,A10Y3OZWENAQ6W,4.0
The No. 1 Ladies' Detective Agency,A10XQVBKGTA0XZ,5.0
The Hiding Place,A10TG7PJTDO4F4,4.0
Gift,A106E1N0ZQ4D9W,5.0
PeaceMaker,A10IKHRUSMKP46,5.0
Doubts and Loves: What is Left of Christianity,A103U0Q3IKSXHE,5.0
"On running after one's hat and other whimsies,",A10T0OW97SFBB,5.0
Faith for Beginners,A10ATBAKR7OIEE,5.0
The City of Falling Angels,A10EW5N83RTO27,2.0
The City of Falling Angels,A100NGGXRQF0AQ,4.0
The City of Falling Angels,A105E427BB6J65,5.0
Who Shot Ya? Three Decades of Hiphop Photography,A103W7ZPKGOCC9,5.0
Frankenstein,A106RLZK9HQIFS,5.0
World's great men of color,A103W7ZPKGOCC9,5.0
ADAPTED CLASSICS GRAPES OF WRATH SE 96C. (Globe Adapted Classics),A10EH95EUDO9W3,4.0
Open Season,A106E1N0ZQ4D9W,5.0
Population: 485 : Meeting Your Neighbors One Siren at a Time,A10EW5N83RTO27,3.0
In the Company of Liars,A108XP24UESKSV,3.0
An Unsuitable Attachment,A106016KSI0YQ,4.0
A confederacy of dunces,A10URBQ3W2KW65,4.0
"All Star Comics Archives, Vol. 7 (DC Archive Editions)",A106016KSI0YQ,3.0
Oscar Wilde: 'The Importance of Being Earnest' (Cambridge Literature),A10A1S5NAQBT21,5.0
House in the Country,A106016KSI0YQ,3.0
Cuba: A New History,A10ARPP5YIQNKY,1.0
On Beauty,A106016KSI0YQ,3.0
THE DRUMS OF FU MANCHU,A10Q8NIFOVOHFV,3.0
The Way We Live Now (Penguin Classics),A106016KSI0YQ,4.0
The confessions of Nat Turner,A107C4RVRF0OP,5.0
The Global Encyclopedia of Wine,A10R81SKUK3TG6,5.0
Carlyles at Home,A106016KSI0YQ,4.0
My Autobiography,A10EH95EUDO9W3,4.0
The Last Will and Testament of Senhor da Silva Araujo,A10VOEBL5S337W,4.0
Feynman's Rainbow: A Search for Beauty in Physics and in Life,A10G0UV69NCHXB,5.0
The Congress of Vienna: A Study in Allied Unity: 1812-1822,A101446I5AWY0Z,4.0
Leave Myself Behind,A10ATBAKR7OIEE,5.0
Romola,A10JF6T7DY6Z8Z,5.0
5001 Nights at the Movies,A106016KSI0YQ,5.0
Man Sharing: Dilemma or Choice,A103W7ZPKGOCC9,5.0
War and the Iliad,A10TR7FH7DXFA2,5.0
War and the Iliad,A106016KSI0YQ,5.0
A Perfect Pair (Arabesque),A10BI5QB5HJTR4,3.0
Paradise Postponed (G K Hall Large Print Book Series),A106016KSI0YQ,5.0
Never Tell,A10BI5QB5HJTR4,5.0
Ulysses,A10RQR8BVO77HS,5.0
Ulysses,A107C4RVRF0OP,5.0
Ulysses,A10A1S5NAQBT21,5.0
Too Hot Too Handle (Arabesque),A10BI5QB5HJTR4,4.0
Joseph Smith: Rough Stone Rolling,A10LWBOIZCF2QT,5.0
A Matter of Honor (G K Hall Large Print Book Series),A10PEXB6XAQ5XF,5.0
His 1-800 Wife,A10BI5QB5HJTR4,4.0
An inquiry into the nature and causes of the wealth of nations (Everyman's library. Science),A10TRXQBELWYMF,5.0
The Devil Wears Prada,A10JQQVC4L91RD,1.0
The Devil Wears Prada,A10J604M0KKBAS,4.0
Tarzan of the Apes,A107I3EOYE62A,4.0
Headlong,A106016KSI0YQ,4.0
"The ""God"" Part of the Brain: A Scientific Interpretation of Human Spirituality and God",A10O98CWTJQTYQ,1.0
Hooking Up,A10K3DLOEVMKW3,5.0
The Picture of Dorian Gray,A1065304SY1HF8,5.0
The Picture of Dorian Gray,A10O025EN0CBLQ,4.0
The Picture of Dorian Gray,A106QCX4I544YJ,1.0
The Picture of Dorian Gray,A10A1S5NAQBT21,5.0
The Picture of Dorian Gray,A10OI9O3JS0BVY,5.0
The Picture of Dorian Gray,A106C5BHWK9SKP,5.0
The Picture of Dorian Gray,A104BTD1MMNQVF,5.0
Sweet Sacrifice,A10BI5QB5HJTR4,5.0
Ode to Lata,A10ATBAKR7OIEE,4.0
Double Love,A10EH95EUDO9W3,3.0
Public Speaking and Influencing Men in Business,A10KKJMBY5L7TK,4.0
"The Greek New Testament, 4th Revised Edition",A10ER4C5IVTSMA,1.0
Rogue male (Armed Services edition),A10W0GPVSGN8PL,5.0
The Devil's Dictionary,A10VOEBL5S337W,5.0
Pyramid Handbook,A10G0UV69NCHXB,5.0
LONELY MEN (SACKETTS),A10Q8NIFOVOHFV,4.0
Blood of the Fold (Sword of Truth Series),A10KKJMBY5L7TK,5.0
The Third Opinion: How Successful Leaders Use Outside Insight to Create Superior Results,A103U0Q3IKSXHE,4.0
Hip-Hop vs MAAT : A Psycho/Social Analysis of Values,A103W7ZPKGOCC9,5.0
Nerd in Shining Armor (The Nerd Series),A106E1N0ZQ4D9W,2.0
The Mabinogion,A100YHBWL4TR4D,5.0
A HIGH WIND IN JAMAICA,A106016KSI0YQ,5.0
The Stranger Beside Me (Signet),A10VOEBL5S337W,5.0
Unsuitable Attachment (New Portway Reprints),A106016KSI0YQ,4.0
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,A10LWBOIZCF2QT,5.0
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,A10XZH78SDOI5M,3.0
Negroes with guns,A103W7ZPKGOCC9,5.0
Accomodating Brocolli in the Cemetary: Or Why Can't Anybody Spell,A10R81SKUK3TG6,2.0
Looking For It,A10ATBAKR7OIEE,3.0
Little House on the Prairie (Little House-the Laura Years),A10EH95EUDO9W3,5.0
Ulysses.,A10A1S5NAQBT21,5.0
Ulysses.,A10RQR8BVO77HS,5.0
Ulysses.,A107C4RVRF0OP,5.0
Sacred Love (Arabesque),A10BI5QB5HJTR4,3.0
The Quest for Corvo,A106016KSI0YQ,4.0
Love at Last (Arabesque),A10BI5QB5HJTR4,4.0
Northanger abbey: A novel,A10T0OW97SFBB,4.0
The Great Gatsby,A10J8HE0W0OPV9,4.0
The Great Gatsby,A10B4UOL0IB274,5.0
The Great Gatsby,A10B4UOL0IB274,5.0
The Great Gatsby,A100YHBWL4TR4D,5.0
The Great Gatsby,A10B4UOL0IB274,5.0
The Great Gatsby,A10B4UOL0IB274,5.0
The Great Gatsby,A10W0GPVSGN8PL,5.0
Jamaica Inn,A106016KSI0YQ,4.0
The Epic of Gilgamesh (Classics (Prebound)),A10HIGJ8OCFLIS,5.0
Northanger Abbey: A novel (The select library of fiction),A10T0OW97SFBB,4.0
Learning Greek With Plato (Bristol Phoenix Press - Classical Handbooks),A10ER4C5IVTSMA,5.0
Rendezvous in black (Pocket book),A106016KSI0YQ,3.0
Oliver Twist (Classics Collection),A10C5CJK1YKGV0,5.0
Oliver Twist (Classics Collection),A107I3EOYE62A,4.0
Oliver Twist (Classics Collection),A10T5WUTEEGLQF,5.0
The Importance of Being Earnest and Other Plays,A10A1S5NAQBT21,5.0
The Hitchhiker's Guide to the Galaxy,A103U0Q3IKSXHE,3.0
Miss Prestwick's Crusade (Signet Regency Romance),A108XP24UESKSV,3.0
Great Expectations,A10R1WAP6HFFEP,4.0
Great Expectations,A10R1WAP6HFFEP,4.0
"American Jezebel : The Uncommon Life of Anne Hutchinson, the Woman Who Defied the Puritans",A10Y5RD8QNMHEZ,3.0
My father's dragon,A10AKE9TAADHVV,5.0
the Picture of Dorian Gray,A106QCX4I544YJ,1.0
the Picture of Dorian Gray,A10A1S5NAQBT21,5.0
the Picture of Dorian Gray,A106C5BHWK9SKP,5.0
the Picture of Dorian Gray,A1065304SY1HF8,5.0
the Picture of Dorian Gray,A10O025EN0CBLQ,4.0
the Picture of Dorian Gray,A104BTD1MMNQVF,5.0
the Picture of Dorian Gray,A10OI9O3JS0BVY,5.0
Know By Heart (Arabesque),A10BI5QB5HJTR4,4.0
Omega (Engines of God),A109B7907A98ER,3.0
City of Bones,A106E1N0ZQ4D9W,3.0
Black Beauty (Troll Illustrated Classics),A10A1S5NAQBT21,5.0
Luther's Works Lectures on Genesis/Chapters 1-5 (Luther's Works) (Luther's Works (Concordia)),A10T0OW97SFBB,5.0
The Ultimate Spanish Review and Practice: Mastering Spanish Grammar for Confident Communication,A1075MZNVRMSEO,5.0
A Lady in Disguise (Signet Regency Romance),A108XP24UESKSV,2.0
The World of Jeeves,A10URBQ3W2KW65,4.0
Great Expectations,A10R1WAP6HFFEP,4.0
Great Expectations,A10R1WAP6HFFEP,4.0
Kidnapped: Child Abduction in America,A10VOEBL5S337W,5.0
Hindoo Holiday: An Indian Journal,A106016KSI0YQ,3.0
Prince Caspian (Radio Theatre),A10T0OW97SFBB,5.0
Technopoly: The Surrender of Culture to Technology,A10W40DOIE1EOP,4.0
The Starchild Trilogy,A101446I5AWY0Z,2.0
In Cold Blood: A True Account of a Multiple Murder and Its Consequences,A101DG7P9E26PW,5.0
In Cold Blood: A True Account of a Multiple Murder and Its Consequences,A107C4RVRF0OP,5.0
Blue At the Mizzen (aubrey/maturin series),A10L8XPLYAK7SQ,4.0
The Stone Diaries,A108AVF62U97NY,4.0
George MacDonald : An Anthology,A10T0OW97SFBB,3.0
JESUS CHRIST AND MYTHOLOGY,A10T0OW97SFBB,4.0
Zen and the Art of Motorcycle Maintenance,A10W40DOIE1EOP,5.0
"The path between the seas : the creation of the Panama Canal, 1870-1914",A10G0UV69NCHXB,5.0
Thy Neighbor's Wife,A10Q8NIFOVOHFV,4.0
Jesus the Christ,A10WE4JQOHF6H2,5.0
Spanish Verbs: Oxford Minireference,A1075MZNVRMSEO,5.0
"The lore and language of schoolchildren,",A106016KSI0YQ,4.0
"Incubus Dreams (Anita Blake, Vampire Hunter, Book 12)",A107YFBJ119GZR,5.0
Jesus' Son,A10W40DOIE1EOP,4.0
Johnny Tremain,A10TYGME2FQHO7,4.0
Road Unseen,A10HWJXUG67E7I,5.0
The Spy Who Came In From the Cold,A106016KSI0YQ,3.0
To Have And Have Not,A10ETB3064YV0F,4.0
Letting go,A107C4RVRF0OP,3.0
"The Scientist in the Crib: Minds, Brains, And How Children Learn",A100NGGXRQF0AQ,5.0
"Little women, or, Meg, Jo, Beth, and Amy",A10LIUHN9UTH7O,5.0
"Little women, or, Meg, Jo, Beth, and Amy",A10TKG3JDUBVCR,5.0
"Little women, or, Meg, Jo, Beth, and Amy",A1042BIXF6ZMAC,5.0
"The Lion, The witch and the Wardrobe",A10EH95EUDO9W3,4.0
"The Lion, The witch and the Wardrobe",A10T0OW97SFBB,5.0
Life on the Hyphen: The Cuban-American Way,A10ARPP5YIQNKY,5.0
Pennsylvania Mountain Stories,A10W40DOIE1EOP,5.0
HIS EXCELLENCY GEORGE WASHINGTON.,A10F2RGD2D36ZI,5.0
HIS EXCELLENCY GEORGE WASHINGTON.,A10LWBOIZCF2QT,5.0
Book,A101446I5AWY0Z,5.0
LAST EXIT TO BROOKLYN,A10K3DLOEVMKW3,5.0
The Tenant of Wildfell Hall Set,A10O4LYO967IZ,4.0
Ulysses,A10A1S5NAQBT21,5.0
Ulysses,A10RQR8BVO77HS,5.0
Ulysses,A107C4RVRF0OP,5.0
"A Rose for Virtue: The Very Private Life of Hortense, Stepdaughter of Napoleon I, Mother of Napoleon III",A101446I5AWY0Z,3.0
Buried by the Times: The Holocaust and America's Most Important Newspaper,A10EW5N83RTO27,3.0
Prince of Dreams,A107YFBJ119GZR,5.0
Journal of Albion Moonlight.,A10HIGJ8OCFLIS,4.0
Stay: A Novel,A105E427BB6J65,4.0
Sense and sensibility,A10O4LYO967IZ,3.0
Kissing the Beehive,A10M94ASQEBL56,5.0
TRAVELING MERCIES. SOME THOUGHTS ON FAITH.,A10LWBOIZCF2QT,4.0
TRAVELING MERCIES. SOME THOUGHTS ON FAITH.,A10KHC3SJ6EBSR,4.0
TRAVELING MERCIES. SOME THOUGHTS ON FAITH.,A103U0Q3IKSXHE,4.0
Guerrilla Marketing for Writers : 100 Weapons to Help You Sell Your Work,A10ARPP5YIQNKY,3.0
"Guns, Germs, and Steel: The Fates of Human Societies",A10BZSGALQPS0V,4.0
The Town: A Novel of the Snopes Family,A107C4RVRF0OP,4.0
Night,A10ARPP5YIQNKY,5.0
The King of Torts,A10LWBOIZCF2QT,4.0
The Iliad of Homer Two Volumes in One,A10A1S5NAQBT21,5.0
Great Expectations (Signet classics),A10R1WAP6HFFEP,4.0
Great Expectations (Signet classics),A10R1WAP6HFFEP,4.0
